Name,Type,Giver,Location,Material Required 1,Material Amount 1,Material Required 2,Material Amount 2,Material Required 3,Material Amount 3,Caption Start,Caption 2,Caption 3,Caption 4,Caption 5,Caption 6,Caption 7,Caption 8,Caption 9,Caption 10,Caption 11,Caption 12,Caption 13,Caption 14,Caption 15,Caption 16,Caption 17,Caption Complete,Shrine,ID,Menu Order,SortIndex,Type Sort
Destroy Ganondorf,Main Quest,Purah,Lookout Landing,-,-,-,-,-,-,"Wind, Fire, Water, Lightning, and Spirit.
The five sages have awakened and entrusted
you with their power. You still don't know where
Demon King Ganondorf is, but Purah says
she suspects the Depths. If you work with
Josha, who has been investigating the Depths,
you might gain a lead.","Wind, Fire, Water, Lightning, and Spirit. The five
sages have awakened and entrusted you with
their power. You also determined the Demon
King's location during The Depths investigation.

All that's left now is to head to the deepest
area of the Depths beneath Hyrule Castle and
defeat Demon King Ganondorf.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DefeatGanondorf,001,91,01
Find Princess Zelda,Main Quest,Steward Construct,Great Sky Island,-,-,-,-,-,-,"You found yourself on a strange island in the
sky after you awoke. A steward construct
claimed that Princess Zelda gave it her
Purah Pad, all to get it into your hands.

The device's map shows a yellow point of
light. The construct said that's where you'll
find the princess.","In the Temple of Time, you approached
an altar, and in a flash of light, you found
yourself with Princess Zelda. That is, with
some phantasmal floating vision of her.

She took your hand and gave you an ability
to control time that's known as Recall. Now,
the temple's deeper mysteries await you.","Rauru said you can't open the door at the back
of the temple because you're still too weak.

You need to get one more Light of Blessing at
the island's final shrine to offer at the
Goddess Statue. The shrine is marked by a
bright dot on the map. You can go near there
instantly with the Purah Pad's travel feature.","After going to the final shrine that Rauru
told you about, you now have four
Lights of Blessing. 

If you offer them at the Goddess Statue in the
temple, you may regain enough strength to
take on the door's test of vitality.","After you offered four Lights of Blessing, the
Goddess Statue purged gloom from your body.
You're far from being restored to your former
full vitality, but it was enough to open the door.
Rauru said he'd done all he could for Zelda and
that now it was up to you. He then vanished,
leaving you alone with the temple's final altar.
Perhaps his parting words will soon be clear.","You didn't find Princess Zelda on the sky
island where you awoke. When you touched the
light in the Temple of Time, you felt her
presence, however faintly, as a voice rang out
in your mind: ""Link, you must find me.""

Where is Princess Zelda? Was there anything
more she was trying to tell you?",-,-,-,-,-,-,-,-,-,-,-,-,-,MainChallenge,002,92,01
The Closed Door,Main Quest,Rauru,Great Sky Island,-,-,-,-,-,-,"When you tried to open the door to the
Temple of Time, Rauru appeared and said
he was the original owner of your new arm.

He also said you need to revitalize the arm so
the power of its touch will open the door. To
do that, visit the island's shrines. A green light
spirals above each of them.","Rauru appeared after you visited the three
shrines. He said that you've revitalized
enough power in your new arm to enter the
Temple of Time.

The door will now open at the touch of
your hand.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"After visiting the three shrines, you returned to
the Temple of Time. Its door opened to
your touch, no longer denying you entry.
Somehow, your new arm was truly revitalized
enough in those shrines.",-,LookingForLightSpot,003,2,01
To the Kingdom of Hyrule,Main Quest,Zelda's Voice,Temple of Time,-,-,-,-,-,-,"At the Temple of Time, you saw the Master
Sword vanish into a mysterious light. A white
dragon then rose into the sky, parting the sea
of clouds. You're sure you heard Princess Zelda
say, ""Link, you must find me."" Head to the land
below to look for clues to her whereabouts.
There's no faster way to do that than to dive
bravely from the sky island.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"After descending from the sky island where you
awoke, you returned to the kingdom of Hyrule
and reunited with Purah at Lookout Landing.
You learned that she's been directing search
efforts in the kingdom.

Work with Purah to find Princess Zelda.",-,GOToTheCastleOfHyrule,004,3,01
Regional Phenomena,Main Quest,Purah,Lookout Landing,-,-,-,-,-,-,"Purah has directed your search for Princess
Zelda into four regions that each suffer under a
strange phenomenon: Hebra (northwest),
Eldin (northeast), Gerudo (southwest), and
Lanayru (east). 

Josha heard a rumor that the princess might
have been seen in Rito Village off in Hebra.","Purah suggested investigating the major
phenomena in various regions as a next step
in the search for Princess Zelda.

There are three more regions where these
strange phenomena are happening.","Purah suggested investigating the major
phenomena in various regions as a next step
in the search for Princess Zelda.

There are two more regions where these
strange phenomena are happening.","Purah suggested investigating the major
phenomena in various regions as a next step
in the search for Princess Zelda.

There is only one more region that is suffering
under a strange phenomenon.","You investigated the four regions that were
troubled by strange phenomena, hoping to find
clues about Princess Zelda. She appeared each
time. And so did someone who looked a lot like
her in the ancient memories you saw via the
secret stones. Maybe Purah can make sense
of this. She's waiting at Lookout Landing.",-,-,-,-,-,-,-,-,-,-,-,-,"You investigated the four regions that were
troubled by strange phenomena, and the
secret stones awakened the four sages.

When you went to report the investigation
results and sightings of Princess Zelda to
Purah, Princess Zelda suddenly appeared at
Hyrule Castle along with a blood moon.",-,SurveyOfFourVillages,005,4,01
Find the Fifth Sage,Main Quest,Purah,Lookout Landing,-,-,-,-,-,-,"During the ancient Imprisoning War, it was
Princess Zelda and the five other sages who
fought with King Rauru against the Demon King.

Purah told you that in order to find the fifth
sage, you should investigate ruins from the age
of legends. The sages have their own regions
covered, leaving you to search elsewhere.","According to Tauro, an account relating to the
sages is in the Ring Ruins.

If you continue your investigation into the ruins,
you may learn something about the fifth sage.","You discovered a Zonai relic at Dragonhead
Island above Faron. The moment you touched
it, you heard a mysterious voice echoing
in your mind.

If you follow the voice's guidance, you should
be able to come closer to finding the fifth sage.","After meeting the owner of the mysterious
voice—the Sage of Spirit, Mineru—you learned
about the Imprisoning War against the Demon
King in the distant past and Princess Zelda's
determination to restore the Master Sword.

You now have all the clues you need. Report to
Purah at Lookout Landing.",-,-,-,-,-,-,-,-,-,-,-,-,-,"You told Purah of your meeting with
Sage Mineru.

The five sages are finally ready. They will be
steadfast allies in the fight with the Demon King.",-,ClueTotheSixthSage,006,5,01
Crisis at Hyrule Castle,Main Quest,Purah,Lookout Landing,-,-,-,-,-,-,"Hyrule Castle rose into the air at the start of
the Upheaval, which tore apart the earth
underneath it.

Purah believes that Princess Zelda may have
called out to you from deep in the earth.
Join the search for the princess below
Hyrule Castle.","When you joined the search party, you found
Princess Zelda—but she transformed into light
and disappeared.

Return to Lookout Landing, and report this
to Purah and the others.","After you told Purah that Princess Zelda
vanished into light at Hyrule Castle, she asked
you to redirect your search into the regions of
Hyrule, where the Upheaval is also wreaking
havoc. Purah wants to mark those spots on
your map, but you'll first need some map data.
Hold the Purah Pad near the Skyview Tower's
terminal to do this.","After you told Purah that Princess Zelda
vanished into light at Hyrule Castle, she asked
you to redirect your search into the regions of
Hyrule, where the Upheaval is also wreaking
havoc. Purah wants to mark those spots on
your map, but you'll first need some map data.

Use the Skyview Tower to scan for this data.","You've discovered that a Skyview Tower will
launch you high into the sky, where you also
scan the nearby terrain from the air. The map
data is added to your Purah Pad.

Purah wanted to give you some potential
destinations to investigate. Report back to 
her at the research lab in Lookout Landing.","Where Princess Zelda is remains a mystery.
Purah said you might learn more by looking into
the major phenomena that are troubling some
regions. She's marked them on your map.

Hyrule Castle remains strangely in the sky,
though you saw someone who looked like the
princess leave it, vanishing into light.","After you told Purah that Princess Zelda
vanished, she asked you to search the regions
of Hyrule where the Upheaval is also wreaking
havoc. Purah wants to mark those spots on
your map, but you'll first need some map data.

Meet Purah at the Skyview Tower to begin
this process.","Princess Zelda suddenly appeared at the
floating Hyrule Castle alongside a red moon.

Much is still unclear, but you should go to
Hyrule Castle to check things out.","You infiltrated Hyrule Castle and finally arrived
at Princess Zelda's location.

But the princess was an impostor—a duplicate
created by the mummy. The impostor further
warped its appearance and began attacking.","Princess Zelda, who appeared at Hyrule Castle,
turned out to be an impostor created by
Demon King Ganondorf.

The Demon King isn't yet fully regenerated, so
there may still be time. Return to Lookout
Landing and talk to Purah.","You told Purah about the impostor princess
and how Demon King Ganondorf is trying to
rise again.

Hyrule Castle remains a devastated place
and continues to float above the ground.",-,-,-,-,-,-,"The phenomena at Hyrule Castle and the
Upheaval were all due to Demon King
Ganondorf, who is trying to destroy
the world.

Combine your powers with the five sages and
slay the Demon King.",-,HyruleCastleIncident,007,6,01
Trail of the Master Sword,Main Quest,Mineru,Spirit Temple,-,-,-,-,-,-,"Where even the sages of old could not defeat
the Demon King, the darkness-sealing
Master Sword wounded him.

According to Mineru, Princess Zelda said
to speak to the Deku Tree about the
Master Sword.","Where even the sages of old could not defeat
the Demon King, the sword that seals the
darkness—the Master Sword—wounded him.

According to Mineru, Princess Zelda said to
speak to the Deku Tree about the Master
Sword. You learned that the Deku Tree is in
Korok Forest.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The sword that seals the darkness, the
Master Sword, passed into a distant time
and into Princess Zelda's hands. You were
able to obtain clues about it.",-,MasterSwordClues,008,7,01
Recovering the Hero's Sword,Main Quest,Deku Tree,Korok Forest,-,-,-,-,-,-,"The darkness-sealing sword, the Master Sword,
vanished in the Temple of Time on the Great
Sky Island.

The Deku Tree can feel the sword's presence
and says that the Master Sword is moving.
What could that mean...",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You found the Master Sword with the white
dragon soaring in the skies. The legendary
sword that seals the darkness has returned
to your hand, along with Zelda's wish.",-,GetMasterSword,009,8,01
Tulin of Rito Village,Main Quest,Teba,Rito Village,-,-,-,-,-,-,"A severe blizzard has struck Rito Village, leaving
it in crisis. Teba had no information for you
concerning Princess Zelda, but he suggested
you ask Harth at a nearby lodge.

This lodge is north of the village at the foot of
the Hebra Mountains, and it's marked by a
pair of bonfires.","Harth had no leads on Princess Zelda either.
He suggested you speak to Tulin, who has been
scouting the skies since the fierce blizzard
began.

Harth said that Tulin went to the Hebra South
Summit Cave with Gesane and Laissa. Its
entrance is marked with another bonfire.","Tulin was not at the cave when you went out
to find him. Gesane told you that he left Hebra
South Summit Cave and went toward the lone
cedar tree on Talonto Peak, visible to the north.

According to Gesane, he saw a group of
monsters and gave chase alone.","Upon reaching the lone cedar tree, you found
an upset Tulin looking toward the sky.

He said his bow was stolen by a flying monster.","Upon reaching the lone cedar tree, you found
an upset Tulin. He told you that a flying monster
stole his bow.

It's up to you to defeat the monster and get
Tulin's bow back.","You defeated the Aerocuda and recovered
Tulin's bow. But before the two of you could
leave, more Aerocudas arrived—this time
flinging Bokoblins at you.

Work with Tulin to defeat the monsters.","Tulin's recent ordeal has taught him a valuable
lesson about working together. Even Harth can
see that the young Rito has matured.

Go with Tulin to the sky islands above Hebra
Peak, where he claims he saw Princess Zelda.","Though you didn't find Princess Zelda where
Tulin said she'd be, you heard a disembodied
voice say, ""Come to me."" Inside the cloud, you
discovered a great ship, which looks just like
the one from the Song of the Stormwind Ark.

Is this mysterious voice guiding Tulin into
the cloud?","You found a massive ship, which Tulin says
is the Stormwind Ark, floating inside the
thunderhead. A figure greatly resembling
Princess Zelda was seen on the ship's deck
before she vanished suddenly. The blizzard,
which shows no sign of abating, is coming from
below the hatch. The cause of the Rito's
suffering seems close at hand.","You tried using the terminal, but the deck's
hatch did not open. The mysterious voice then
spoke to you again, saying the hatch will remain
shut until all five locks are unlocked.

Find the five locks the voice spoke of to save
Rito Village from the never-ending blizzard and
to get a lead on Princess Zelda's whereabouts.","You unlocked the five locks. Once you use the
terminal and open the deck hatch, it will be time
to step forward and stop the frigid winds
spouting from belowdecks.","When the deck hatch opened, a massive
monster emerged. This must be the culprit
behind the fierce blizzard assailing Rito Village.

Work with Tulin to vanquish the monster.","The ice covering the altar melted after you
vanquished the monster, revealing a shining
stone set there.

You can sense great power emanating from
the stone, and Tulin senses it as well.",-,-,-,-,"Rito Village is no longer at the mercy of the
unusual blizzard.

Tulin, who inherited a secret stone from the
ancient sage to become the new Sage of Wind,
promised to lend you his power anytime.",-,SageOfWind,010,21,01
