0/22,Name,Nickname,Alias 1,Alias 2,Alias 3,Race,Actor,Menu Order
FALSE,Zelda,Princess of Hyrule,"The heir to a power that imprisons darkness. She sacrificed her freedom over 100 years ago to keep Calamity Ganon sealed away and prevent him from further destroying Hyrule.

After Link helped free her from that long duty, she committed herself to rebuilding and restoring Hyrule—but has now gone missing.",-,-,Hylian,Dm_Npc_Zelda_Search_Improve,01
FALSE,Purah,Head of Lookout Landing,"The highest authority on ancient technology. She has served Princess Zelda's family for much of her life and has worked with the princess to research the Zonai civilization. Most recently, they started an investigation into the outbreak of gloom.

She has used herself as a test subject in her experiments. Despite being over a century in age, she reversed her aging to the extreme and actually looked like a child not too long ago.",-,-,Hylian (Sheikah),Npc_AncientDoctor,02
FALSE,Robbie,Head of Purah Pad Development,"An engineer whose eccentric style adds a lot to his reputation as a wild genius.

He once helped Link from his research facility at the Akkala Ancient Tech Lab. Since then, he's moved to the Hateno Ancient Tech Lab to help Purah develop the Purah Pad. Robbie thinks he did much of the work on the device, so he's a bit grumbly that it's not named after him.",-,-,Hylian (Sheikah),Npc_AncientDoctor_Hateno,03
FALSE,Josha,Head of Depths Research,"A young scientist whose genius earned her the role of heading up Depths research.

Josha finds it thrilling to be working with Purah, and though she helps with various investigations into Princess Zelda's disappearance, she's glad to focus her time on the Depths.",-,-,Hylian (Sheikah),Npc_BaseCamp_Assistant,04
FALSE,Impa,The Sheikah Elder,"Former chief of the Sheikah who served the royal family of Hyrule for generations and is a living witness to its near extinction. Sometime after guiding Link through the Calamity, Impa made her granddaughter Paya the new chief.

Being over a century old hasn't stopped Impa from doing her part in the search for Princess Zelda. She's investigating the geoglyphs around Hyrule—certain they will provide clues to where the princess is.",-,-,Hylian (Sheikah),Npc_Wanderer,05
FALSE,Paya,Chief of Kakariko Village,"The chief of the Sheikah tribe. She takes the duties she inherited from her grandmother Impa seriously, and she draws strength in her own way from being a gentle soul at heart.

She has considerable affection for Link, in part because of her grandmother's many tales about the hero who defeated the Calamity.",-,-,Hylian (Sheikah),Npc_Kakariko002,06
FALSE,Tulin,"Young Rito Warrior
The Sage of Wind","The son of the Rito elder, Teba.

When Link first visited his village, Tulin was still a child growing up in his father's shadow, and his eyes would light up when he watched Link and Teba practice at the Flight Range.","A young Rito who fought at Link's side to save his village from a strange phenomenon.

When Link first visited the village, Tulin was still a child growing up in his father's shadow, and his eyes would light up seeing Link in action. Now, he has shown true growth and proved himself a Rito warrior.

Tulin has inherited a secret stone and awakened as the Sage of Wind.",-,Rito,Npc_HighMountain001,07
FALSE,Teba,The New Rito Elder,"A Rito warrior who once helped Link save Rito Village. He took up the mantle of village elder from Kaneli to become the new leader of his people.

As the new elder, he is under pressure to deal with the strange weather assailing Rito Village.","A Rito warrior who once helped Link save Rito Village. He took up the mantle of village elder from Kaneli to become the new leader of his people.

After his son, Tulin, joined with Link to confront the strange phenomenon, he acknowledged him as a fully fledged warrior and entrusted him with his precious bow.",-,Rito,Npc_ValleyVillage010,08
FALSE,Sidon,"Prince of the Zora
The Sage of Water","The son of King Dorephan. An enthusiastic Zora with a zeal for justice, he selflessly protects the domain with integrity and passion. His older sister, the Champion Mipha, fought Calamity Ganon a hundred years ago.

Link earned his complete trust when they worked together to save the domain years before. He now considers him his closest companion.","After joining forces with Link once again, he inherited a secret stone and awakened as the Sage of Water. In recognition of Sidon's role in saving the domain, Dorephan crowned his son as the new king of the Zora. He and Yona are now officially married.

Sidon's older sister, the Champion Mipha, fought Calamity Ganon one hundred years ago.",-,Zora,Npc_ZoraB001,09
FALSE,Yona,"Caretaker to the Zora
Queen of the Zora","A royal Zora from another domain. Known for her kindness, she was Sidon's childhood friend and is now his fiancée.

She began assisting the residents of Zora's Domain in their efforts to combat the sludge as soon as she arrived. A match for Sidon's selfless compassion, she dedicates herself to helping the citizens of the domain.","A royal Zora from another domain. Known for her kindness, she was Sidon's childhood friend.

When the crisis of the sludge subsided, she and her beloved Sidon finally wed. As queen, she offers Sidon her unwavering support and works tirelessly at his side for the good of the domain.",-,Zora,Npc_ZoraFencer,10
